Filesystem Size Used Avail Use% Mounted on

devtmpfs 7.8G 0 7.8G 0% /dev
tmpfs 500M 0 500M 0% /var/lib/kubelet/pods/f69549cf-50df-4201-a5cf-dd97b37c115f/volumes/kubernetes.io~secret/ingressgateway-certs

tmpfs 3.0G 24K 3.0G 1% /var/lib/kubelet/pods/ee45d0f7-05bb-49a5-866f-16a731275abb/volumes/kubernetes.io~empty-dir/istio-envoy

tmpfs 500M 0 500M 0% /var/lib/kubelet/pods/f69549cf-50df-4201-a5cf-dd97b37c115f/volumes/kubernetes.io~secret/ingressgateway-ca-certs

tmpfs 500M 8.0K 500M 1% /var/lib/kubelet/pods/f69549cf-50df-4201-a5cf-dd97b37c115f/volumes/kubernetes.io~downward-api/podinfo

tmpfs 500M 8.0K 500M 1% /var/lib/kubelet/pods/3852a8e3-fa48-4e5c-a821-6d47ea3ec82d/volumes/kubernetes.io~downward-api/podinfo

tmpfs 500M 0 500M 0% /var/lib/kubelet/pods/3852a8e3-fa48-4e5c-a821-6d47ea3ec82d/volumes/kubernetes.io~secret/ingressgateway-ca-certs

tmpfs 3.0G 8.0K 3.0G 1% /var/lib/kubelet/pods/ee45d0f7-05bb-49a5-866f-16a731275abb/volumes/kubernetes.io~downward-api/istio-podinfo

tmpfs 500M 0 500M 0% /var/lib/kubelet/pods/3852a8e3-fa48-4e5c-a821-6d47ea3ec82d/volumes/kubernetes.io~secret/ingressgateway-certs

tmpfs 3.0G 4.0K 3.0G 1% /var/lib/kubelet/pods/ee45d0f7-05bb-49a5-866f-16a731275abb/volumes/kubernetes.io~projected/istio-token

tmpfs 500M 4.0K 500M 1% /var/lib/kubelet/pods/3852a8e3-fa48-4e5c-a821-6d47ea3ec82d/volumes/kubernetes.io~projected/istio-token

tmpfs 500M 4.0K 500M 1% /var/lib/kubelet/pods/f69549cf-50df-4201-a5cf-dd97b37c115f/volumes/kubernetes.io~projected/istio-token

tmpfs 500M 12K 500M 1% /var/lib/kubelet/pods/3852a8e3-fa48-4e5c-a821-6d47ea3ec82d/volumes/kubernetes.io~projected/kube-api-access-4ftv7

tmpfs 500M 12K 500M 1% /var/lib/kubelet/pods/f69549cf-50df-4201-a5cf-dd97b37c115f/volumes/kubernetes.io~projected/kube-api-access-jvctp

tmpfs 3.0G 12K 3.0G 1% /var/lib/kubelet/pods/ee45d0f7-05bb-49a5-866f-16a731275abb/volumes/kubernetes.io~projected/kube-api-access-9bfvk

tmpfs 3.0G 8.0K 3.0G 1% /var/lib/kubelet/pods/a8a1ea0a-4e4f-4b0b-a077-c0eedd99a70a/volumes/kubernetes.io~downward-api/istio-podinfo

tmpfs 3.0G 24K 3.0G 1% /var/lib/kubelet/pods/a8a1ea0a-4e4f-4b0b-a077-c0eedd99a70a/volumes/kubernetes.io~empty-dir/istio-envoy

tmpfs 3.0G 4.0K 3.0G 1% /var/lib/kubelet/pods/a8a1ea0a-4e4f-4b0b-a077-c0eedd99a70a/volumes/kubernetes.io~projected/istio-token

tmpfs 3.0G 12K 3.0G 1% /var/lib/kubelet/pods/a8a1ea0a-4e4f-4b0b-a077-c0eedd99a70a/volumes/kubernetes.io~projected/kube-api-access-ljpkr

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/d7a256507523861ed04186f392033d905872d405ff705de8f0975dbddcba7e7f/merged

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/05da59766dbd6e7f585ca95bf96163251a9a65b16724f1303723efecf5cbfc1a/merged

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/4c8501edad4221cfc4a85c9b553bc36b0c07bf0f685492b31eb05a91fc719edf/merged

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/1198a02ac045d8120f0644ab5088285d009becda3417aa8fd2674399ca559545/merged

shm 64M 0 64M 0% /var/lib/docker/containers/0a28ab494dedac821f14c105a62b594e5a53951644033bb43a772ccc3ea034e2/mounts/shm

shm 64M 0 64M 0% /var/lib/docker/containers/d2e138329b28c1cd2816654fbbeca7d6d92a0cd391253d7354c43cbe9d8d6ec8/mounts/shm

shm 64M 0 64M 0% /var/lib/docker/containers/8344e1d9f61d81fed5cfc8176337618f4aa20cf590b4a5bb49a83cbe4277919b/mounts/shm

shm 64M 0 64M 0% /var/lib/docker/containers/1e3e368798005392c165608b989c15be2de36a0ee6966cd33e450996ab60431b/mounts/shm

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/9dd968318e9c7831274951e63a3803cc8c455e5135672ceb2bd15dbd5e500ab8/merged

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/c3195469d434988c7afa8b4ca3c0aaaa1a784fdf7a2cb77e512f1d292531b91e/merged

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/d3bf6435de59589ae540ed086cfa06e09202d68faf31b8e423236afd803fe082/merged

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/d270dcab9fcb1abc50d95a700161f32746c1101f8dd8891f1ac8ea7ada455a1d/merged

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/852fac58e59c8b0a0857f25c02b9c0bdbafcf1c95d95909f5046813001ee5d8d/merged

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/b585e1e5548541ad6c574a5d4533655e81ffe1101c122fcfb15ee493c8670d76/merged

tmpfs 15G 8.0K 15G 1% /var/lib/kubelet/pods/95f1d823-1fd1-4510-b35f-e456e035234c/volumes/kubernetes.io~downward-api/istio-podinfo

tmpfs 15G 8.0K 15G 1% /var/lib/kubelet/pods/b42104a2-8daf-4e7f-88ec-58b3b725b824/volumes/kubernetes.io~downward-api/istio-podinfo

tmpfs 15G 24K 15G 1% /var/lib/kubelet/pods/95f1d823-1fd1-4510-b35f-e456e035234c/volumes/kubernetes.io~empty-dir/istio-envoy

tmpfs 15G 24K 15G 1% /var/lib/kubelet/pods/b42104a2-8daf-4e7f-88ec-58b3b725b824/volumes/kubernetes.io~empty-dir/istio-envoy

tmpfs 15G 12K 15G 1% /var/lib/kubelet/pods/95f1d823-1fd1-4510-b35f-e456e035234c/volumes/kubernetes.io~secret/tls-secret

tmpfs 15G 12K 15G 1% /var/lib/kubelet/pods/b42104a2-8daf-4e7f-88ec-58b3b725b824/volumes/kubernetes.io~projected/kube-api-access-2h5k8

tmpfs 15G 12K 15G 1% /var/lib/kubelet/pods/95f1d823-1fd1-4510-b35f-e456e035234c/volumes/kubernetes.io~projected/kube-api-access-md8gl

tmpfs 15G 4.0K 15G 1% /var/lib/kubelet/pods/b42104a2-8daf-4e7f-88ec-58b3b725b824/volumes/kubernetes.io~projected/istio-token

tmpfs 15G 4.0K 15G 1% /var/lib/kubelet/pods/95f1d823-1fd1-4510-b35f-e456e035234c/volumes/kubernetes.io~projected/istio-token

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/8fc8ae1c79c41ef69c07fc42a88bb01b67e7a8266ebfecc36b2dee1bd9375e9e/merged

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/6909e6fe2d02e67425de14d69c93fb7039290475890dd820db90bbd8475c4787/merged

shm 64M 0 64M 0% /var/lib/docker/containers/16104d8948d66b8c49cc91799c53cbadbf6f7deb63b59fb3fc539bd79bcafa14/mounts/shm

shm 64M 0 64M 0% /var/lib/docker/containers/3cfba655ecbcbc60973550e5f5c02f75e73ad5ef25f1d0cc0cfdcbe2cd851924/mounts/shm

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/769dfdae1e16565cfb99d37efdd2f84270fadb6f4aca17621e238cc536eb971d/merged

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/87355c50e1aa845ee3ac89fca4a0d86fdd5e456472aba63aa429fefe06601d8f/merged

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/67edc074393f1d2edbc865e6114604d10f1afbdcd0d5581cb24f06891f158c67/merged

